question,answer,source,focus_area
what are the symptoms of hypoglycemia ?,"hypoglycemia causes symptoms such as - hunger - shakiness - nervousness - sweating - dizziness or light-headedness - sleepiness - confusion - difficulty speaking - anxiety - weakness hypoglycemia can also happen during sleep. some signs of hypoglycemia during sleep include - crying out or having nightmares - finding pajamas or sheets damp from perspiration - feeling tired, irritable, or confused after waking up",niddk,hypoglycemia
what are the symptoms of hypoglycemia ?,"hypoglycemia causes symptoms such as - hunger - shakiness - nervousness - sweating - dizziness or light-headedness - sleepiness - confusion - difficulty speaking - anxiety - weakness hypoglycemia can also happen during sleep. some signs of hypoglycemia during sleep include - crying out or having nightmares - finding pajamas or sheets damp from perspiration - feeling tired, irritable, or confused after waking up",niddk,hypoglycemia
what causes hypoglycemia ?,"diabetes medications hypoglycemia can occur as a side effect of some diabetes medications, including insulin and oral diabetes medicationspillsthat increase insulin production, such as - chlorpropamide (diabinese) - glimepiride (amaryl) - glipizide (glucotrol, glucotrol xl) - glyburide (diabeta, glynase, micronase) - nateglinide (starlix) - repaglinide (prandin) - sitagliptin (januvia) - tolazamide - tolbutamide certain combination pills can also cause hypoglycemia, including - glipizide + metformin (metaglip) - glyburide + metformin (glucovance) - pioglitazone + glimepiride (duetact) - rosiglitazone + glimepiride (avandaryl) - sitagliptin + metformin (janumet) other types of diabetes pills, when taken alone, do not cause hypoglycemia. examples of these medications are - acarbose (precose) - metformin (glucophage) - miglitol (glyset) - pioglitazone (actos) - rosiglitazone (avandia) however, taking these pills along with other diabetes medicationsinsulin, pills that increase insulin production, or bothincreases the risk of hypoglycemia. in addition, use of the following injectable medications can cause hypoglycemia: - pramlintide (symlin), which is used along with insulin - exenatide (byetta), which can cause hypoglycemia when used in combination with chlorpropamide, glimepiride, glipizide, glyburide, tolazamide, and tolbutamide more information about diabetes medications is provided in the niddk health topic, what i need to know about diabetes medicines, or by calling 18008608747. other causes of hypoglycemia in people on insulin or pills that increase insulin production, low blood glucose can be due to - meals or snacks that are too small, delayed, or skipped - increased physical activity - alcoholic beverages",niddk,hypoglycemia
what causes hypoglycemia ?,"diabetes medications hypoglycemia can occur as a side effect of some diabetes medications, including insulin and oral diabetes medicationspillsthat increase insulin production, such as - chlorpropamide (diabinese) - glimepiride (amaryl) - glipizide (glucotrol, glucotrol xl) - glyburide (diabeta, glynase, micronase) - nateglinide (starlix) - repaglinide (prandin) - sitagliptin (januvia) - tolazamide - tolbutamide certain combination pills can also cause hypoglycemia, including - glipizide + metformin (metaglip) - glyburide + metformin (glucovance) - pioglitazone + glimepiride (duetact) - rosiglitazone + glimepiride (avandaryl) - sitagliptin + metformin (janumet) other types of diabetes pills, when taken alone, do not cause hypoglycemia. examples of these medications are - acarbose (precose) - metformin (glucophage) - miglitol (glyset) - pioglitazone (actos) - rosiglitazone (avandia) however, taking these pills along with other diabetes medicationsinsulin, pills that increase insulin production, or bothincreases the risk of hypoglycemia. in addition, use of the following injectable medications can cause hypoglycemia: - pramlintide (symlin), which is used along with insulin - exenatide (byetta), which can cause hypoglycemia when used in combination with chlorpropamide, glimepiride, glipizide, glyburide, tolazamide, and tolbutamide more information about diabetes medications is provided in the niddk health topic, what i need to know about diabetes medicines, or by calling 18008608747. other causes of hypoglycemia in people on insulin or pills that increase insulin production, low blood glucose can be due to - meals or snacks that are too small, delayed, or skipped - increased physical activity - alcoholic beverages",niddk,hypoglycemia
what are the treatments for hypoglycemia ?,"signs and symptoms of hypoglycemia vary from person to person. people with diabetes should get to know their signs and symptoms and describe them to their friends and family so they can help if needed. school staff should be told how to recognize a child's signs and symptoms of hypoglycemia and how to treat it. people who experience hypoglycemia several times in a week should call their health care provider. they may need a change in their treatment plan: less medication or a different medication, a new schedule for insulin or medication, a different meal plan, or a new physical activity plan. prompt treatment for hypoglycemia when people think their blood glucose is too low, they should check the blood glucose level of a blood sample using a meter. if the level is below 70 mg/dl, one of these quick-fix foods should be consumed right away to raise blood glucose: - 3 or 4 glucose tablets - 1 serving of glucose gelthe amount equal to 15 grams of carbohydrate - 1/2 cup, or 4 ounces, of any fruit juice - 1/2 cup, or 4 ounces, of a regularnot dietsoft drink - 1 cup, or 8 ounces, of milk - 5 or 6 pieces of hard candy - 1 tablespoon of sugar or honey recommended amounts may be less for small children. the child's doctor can advise about the right amount to give a child. the next step is to recheck blood glucose in 15 minutes to make sure it is 70 mg/dl or above. if it's still too low, another serving of a quick-fix food should be eaten. these steps should be repeated until the blood glucose level is 70 mg/dl or above. if the next meal is an hour or more away, a snack should be eaten once the quick-fix foods have raised the blood glucose level to 70 mg/dl or above. for people who take acarbose (precose) or miglitol (glyset) people who take either of these diabetes medications should know that only pure glucose, also called dextroseavailable in tablet or gel formwill raise their blood glucose level during a low blood glucose episode. other quick-fix foods and drinks won't raise the level quickly enough because acarbose and miglitol slow the digestion of other forms of carbohydrate. help from others for severe hypoglycemia severe hypoglycemiavery low blood glucosecan cause a person to pass out and can even be life threatening. severe hypoglycemia is more likely to occur in people with type 1 diabetes. people should ask a health care provider what to do about severe hypoglycemia. another person can help someone who has passed out by giving an injection of glucagon. glucagon will rapidly bring the blood glucose level back to normal and help the person regain consciousness. a health care provider can prescribe a glucagon emergency kit. family, friends, or coworkersthe people who will be around the person at risk of hypoglycemiacan learn how to give a glucagon injection and when to call 911 or get medical help. physical activity and blood glucose levels physical activity has many benefits for people with diabetes, including lowering blood glucose levels. however, physical activity can make levels too low and can cause hypoglycemia up to 24 hours afterward. a health care provider can advise about checking the blood glucose level before exercise. for those who take insulin or one of the oral medications that increase insulin production, the health care provider may suggest having a snack if the glucose level is below 100 mg/dl or adjusting medication doses before physical activity to help avoid hypoglycemia. a snack can prevent hypoglycemia. the health care provider may suggest extra blood glucose checks, especially after strenuous exercise. hypoglycemia when driving hypoglycemia is particularly dangerous if it happens to someone who is driving. people with hypoglycemia may have trouble concentrating or seeing clearly behind the wheel and may not be able to react quickly to road hazards or to the actions of other drivers. to prevent problems, people at risk for hypoglycemia should check their blood glucose level before driving. during longer trips, they should check their blood glucose level frequently and eat snacks as needed to keep the level at 70 mg/dl or above. if necessary, they should stop for treatment and then make sure their blood glucose level is 70 mg/dl or above before starting to drive again. hypoglycemia unawareness some people with diabetes do not have early warning signs of low blood glucose, a condition called hypoglycemia unawareness. this condition occurs most often in people with type 1 diabetes, but it can also occur in people with type 2 diabetes. people with hypoglycemia unawareness may need to check their blood glucose level more often so they know when hypoglycemia is about to occur. they also may need a change in their medications, meal plan, or physical activity routine. hypoglycemia unawareness develops when frequent episodes of hypoglycemia lead to changes in how the body reacts to low blood glucose levels. the body stops releasing the hormone epinephrine and other stress hormones when blood glucose drops too low. the loss of the body's ability to release stress hormones after repeated episodes of hypoglycemia is called hypoglycemia-associated autonomic failure, or haaf. epinephrine causes early warning symptoms of hypoglycemia such as shakiness, sweating, anxiety, and hunger. without the release of epinephrine and the symptoms it causes, a person may not realize that hypoglycemia is occurring and may not take action to treat it. a vicious cycle can occur in which frequent hypoglycemia leads to hypoglycemia unawareness and haaf, which in turn leads to even more severe and dangerous hypoglycemia. studies have shown that preventing hypoglycemia for a period as short as several weeks can sometimes break this cycle and restore awareness of symptoms. health care providers may therefore advise people who have had severe hypoglycemia to aim for higher-than-usual blood glucose targets for short-term periods. being prepared for hypoglycemia people who use insulin or take an oral diabetes medication that can cause low blood glucose should always be prepared to prevent and treat low blood glucose by - learning what can trigger low blood glucose levels - having their blood glucose meter available to test glucose levels; frequent testing may be critical for those with hypoglycemia unawareness, particularly before driving a car or engaging in any hazardous activity - always having several servings of quick-fix foods or drinks handy - wearing a medical identification bracelet or necklace - planning what to do if they develop severe hypoglycemia - telling their family, friends, and coworkers about the symptoms of hypoglycemia and how they can help if needed normal and target blood glucose ranges normal blood glucose levels in people who do not have diabetes upon wakingfasting 70 to 99 mg/dl after meals 70 to 140 mg/dl target blood glucose levels in people who have diabetes before meals 70 to 130 mg/dl 1 to 2 hours after the start of a meal below 180 mg/dl for people with diabetes, a blood glucose level below 70 mg/dl is considered hypoglycemia.",niddk,hypoglycemia
what are the treatments for hypoglycemia ?,"signs and symptoms of hypoglycemia vary from person to person. people with diabetes should get to know their signs and symptoms and describe them to their friends and family so they can help if needed. school staff should be told how to recognize a child's signs and symptoms of hypoglycemia and how to treat it. people who experience hypoglycemia several times in a week should call their health care provider. they may need a change in their treatment plan: less medication or a different medication, a new schedule for insulin or medication, a different meal plan, or a new physical activity plan. prompt treatment for hypoglycemia when people think their blood glucose is too low, they should check the blood glucose level of a blood sample using a meter. if the level is below 70 mg/dl, one of these quick-fix foods should be consumed right away to raise blood glucose: - 3 or 4 glucose tablets - 1 serving of glucose gelthe amount equal to 15 grams of carbohydrate - 1/2 cup, or 4 ounces, of any fruit juice - 1/2 cup, or 4 ounces, of a regularnot dietsoft drink - 1 cup, or 8 ounces, of milk - 5 or 6 pieces of hard candy - 1 tablespoon of sugar or honey recommended amounts may be less for small children. the child's doctor can advise about the right amount to give a child. the next step is to recheck blood glucose in 15 minutes to make sure it is 70 mg/dl or above. if it's still too low, another serving of a quick-fix food should be eaten. these steps should be repeated until the blood glucose level is 70 mg/dl or above. if the next meal is an hour or more away, a snack should be eaten once the quick-fix foods have raised the blood glucose level to 70 mg/dl or above. for people who take acarbose (precose) or miglitol (glyset) people who take either of these diabetes medications should know that only pure glucose, also called dextroseavailable in tablet or gel formwill raise their blood glucose level during a low blood glucose episode. other quick-fix foods and drinks won't raise the level quickly enough because acarbose and miglitol slow the digestion of other forms of carbohydrate. help from others for severe hypoglycemia severe hypoglycemiavery low blood glucosecan cause a person to pass out and can even be life threatening. severe hypoglycemia is more likely to occur in people with type 1 diabetes. people should ask a health care provider what to do about severe hypoglycemia. another person can help someone who has passed out by giving an injection of glucagon. glucagon will rapidly bring the blood glucose level back to normal and help the person regain consciousness. a health care provider can prescribe a glucagon emergency kit. family, friends, or coworkersthe people who will be around the person at risk of hypoglycemiacan learn how to give a glucagon injection and when to call 911 or get medical help. physical activity and blood glucose levels physical activity has many benefits for people with diabetes, including lowering blood glucose levels. however, physical activity can make levels too low and can cause hypoglycemia up to 24 hours afterward. a health care provider can advise about checking the blood glucose level before exercise. for those who take insulin or one of the oral medications that increase insulin production, the health care provider may suggest having a snack if the glucose level is below 100 mg/dl or adjusting medication doses before physical activity to help avoid hypoglycemia. a snack can prevent hypoglycemia. the health care provider may suggest extra blood glucose checks, especially after strenuous exercise. hypoglycemia when driving hypoglycemia is particularly dangerous if it happens to someone who is driving. people with hypoglycemia may have trouble concentrating or seeing clearly behind the wheel and may not be able to react quickly to road hazards or to the actions of other drivers. to prevent problems, people at risk for hypoglycemia should check their blood glucose level before driving. during longer trips, they should check their blood glucose level frequently and eat snacks as needed to keep the level at 70 mg/dl or above. if necessary, they should stop for treatment and then make sure their blood glucose level is 70 mg/dl or above before starting to drive again. hypoglycemia unawareness some people with diabetes do not have early warning signs of low blood glucose, a condition called hypoglycemia unawareness. this condition occurs most often in people with type 1 diabetes, but it can also occur in people with type 2 diabetes. people with hypoglycemia unawareness may need to check their blood glucose level more often so they know when hypoglycemia is about to occur. they also may need a change in their medications, meal plan, or physical activity routine. hypoglycemia unawareness develops when frequent episodes of hypoglycemia lead to changes in how the body reacts to low blood glucose levels. the body stops releasing the hormone epinephrine and other stress hormones when blood glucose drops too low. the loss of the body's ability to release stress hormones after repeated episodes of hypoglycemia is called hypoglycemia-associated autonomic failure, or haaf. epinephrine causes early warning symptoms of hypoglycemia such as shakiness, sweating, anxiety, and hunger. without the release of epinephrine and the symptoms it causes, a person may not realize that hypoglycemia is occurring and may not take action to treat it. a vicious cycle can occur in which frequent hypoglycemia leads to hypoglycemia unawareness and haaf, which in turn leads to even more severe and dangerous hypoglycemia. studies have shown that preventing hypoglycemia for a period as short as several weeks can sometimes break this cycle and restore awareness of symptoms. health care providers may therefore advise people who have had severe hypoglycemia to aim for higher-than-usual blood glucose targets for short-term periods. being prepared for hypoglycemia people who use insulin or take an oral diabetes medication that can cause low blood glucose should always be prepared to prevent and treat low blood glucose by - learning what can trigger low blood glucose levels - having their blood glucose meter available to test glucose levels; frequent testing may be critical for those with hypoglycemia unawareness, particularly before driving a car or engaging in any hazardous activity - always having several servings of quick-fix foods or drinks handy - wearing a medical identification bracelet or necklace - planning what to do if they develop severe hypoglycemia - telling their family, friends, and coworkers about the symptoms of hypoglycemia and how they can help if needed normal and target blood glucose ranges normal blood glucose levels in people who do not have diabetes upon wakingfasting 70 to 99 mg/dl after meals 70 to 140 mg/dl target blood glucose levels in people who have diabetes before meals 70 to 130 mg/dl 1 to 2 hours after the start of a meal below 180 mg/dl for people with diabetes, a blood glucose level below 70 mg/dl is considered hypoglycemia.",niddk,hypoglycemia
what are the treatments for acromegaly ?,"currently, treatment options include surgical removal of the tumor, medical therapy, and radiation therapy of the pituitary. goals of treatment are to - reduce excess hormone production to normal levels - relieve the pressure that the growing pituitary tumor may be exerting on the surrounding brain areas - preserve normal pituitary function or treat hormone deficiencies - improve the symptoms of acromegaly surgery surgery is the first option recommended for most people with acromegaly, as it is often a rapid and effective treatment. the surgeon reaches the pituitary via an incision through the nose or inside the upper lip and, with special tools, removes the tumor tissue in a procedure called transsphenoidal surgery. this procedure promptly relieves the pressure on the surrounding brain regions and leads to a rapid lowering of gh levels. if the surgery is successful, facial appearance and soft tissue swelling improve within a few days. surgery is most successful in patients with blood gh levels below 45 ng/ml before the operation and with pituitary tumors no larger than 10 millimeters (mm) in diameter. success depends in large part on the skill and experience of the surgeon, as well as the location of the tumor. even with the most experienced neurosurgeon, the chance of a cure is small if the tumor has extended into critical brain structures or into the cavernous sinus where surgery could be risky. the success rate also depends on what level of gh is defined as a cure. the best measure of surgical success is normalization of gh and igf-i levels. the overall rate of remission-control of the disease-after surgery ranges from 55 to 80 percent. (see for more information to locate a board-certified neurosurgeon.) a possible complication of surgery is damage to the surrounding normal pituitary tissue, which requires lifelong use of pituitary hormone replacement. the part of the pituitary that stores antidiuretic hormonea hormone important in water balancemay be temporarily or, rarely, permanently damaged and the patient may require medical therapy. other potential problems include cerebrospinal fluid leaks and, rarely, meningitis. cerebrospinal fluid bathes the brain and can leak from the nose if the incision area doesnt heal well. meningitis is a bacterial or viral infection of the meninges, the outer covering of the brain. even when surgery is successful and hormone levels return to normal, people with acromegaly must be carefully monitored for years for possible recurrence of the disease. more commonly, hormone levels improve, but do not return to normal. additional treatment, usually medications, may be required. medical therapy medical therapy is most often used if surgery does not result in a cure and sometimes to shrink large tumors before surgery. three medication groups are used to treat acromegaly. somatostatin analogs (ssas) are the first medication group used to treat acromegaly. they shut off gh production and are effective in lowering gh and igf-i levels in 50 to 70 percent of patients. ssas also reduce tumor size in around 0 to 50 percent of patients but only to a modest degree. several studies have shown that ssas are safe and effective for long-term treatment and in treating patients with acromegaly caused by nonpituitary tumors. long-acting ssas are given by intramuscular injection once a month. digestive problems-such as loose stools, nausea, and gas-are a side effect in about half of people taking ssas. however, the effects are usually temporary and rarely severe. about 10 to 20 percent of patients develop gallstones, but the gallstones do not usually cause symptoms. in rare cases, treatment can result in elevated blood glucose levels. more commonly, ssas reduce the need for insulin and improve blood glucose control in some people with acromegaly who already have diabetes. the second medication group is the gh receptor antagonists (ghras), which interfere with the action of gh. they normalize igf-i levels in more than 90 percent of patients. they do not, however, lower gh levels. given once a day through injection, ghras are usually well-tolerated by patients. the long-term effects of these drugs on tumor growth are still under study. side effects can include headaches, fatigue, and abnormal liver function. dopamine agonists make up the third medication group. these drugs are not as effective as the other medications at lowering gh or igf-i levels, and they normalize igf-i levels in only a minority of patients. dopamine agonists are sometimes effective in patients who have mild degrees of excess gh and have both acromegaly and hyperprolactinemiatoo much of the hormone prolactin. dopamine agonists can be used in combination with ssas. side effects can include nausea, headache, and lightheadedness. agonist: a drug that binds to a receptor of a cell and triggers a response by the cell, mimicking the action of a naturally occurring substance. antagonist: a chemical that acts within the body to reduce the physiological activity of another chemical substance or hormone. radiation therapy radiation therapy is usually reserved for people who have some tumor remaining after surgery and do not respond to medications. because radiation leads to a slow lowering of gh and igf-i levels, these patients often also receive medication to lower hormone levels. the full effect of this therapy may not occur for many years. the two types of radiation delivery are conventional and stereotactic. conventional radiation delivery targets the tumor with external beams but can damage surrounding tissue. the treatment delivers small doses of radiation multiple times over 4 to 6 weeks, giving normal tissue time to heal between treatments. stereotactic delivery allows precise targeting of a high-dose beam of radiation at the tumor from varying angles. the patient must wear a rigid head frame to keep the head still. the types of stereotactic radiation delivery currently available are proton beam, linear accelerator (linac), and gamma knife. with stereotactic delivery, the tumor must be at least 5 mm from the optic chiasm to prevent radiation damage. this treatment can sometimes be done in a single session, reducing the risk of damage to surrounding tissue. all forms of radiation therapy cause a gradual decline in production of other pituitary hormones over time, resulting in the need for hormone replacement in most patients. radiation also can impair a patients fertility. vision loss and brain injury are rare complications. rarely, secondary tumors can develop many years later in areas that were in the path of the radiation beam.",niddk,acromegaly
what are the treatments for acromegaly ?,"currently, treatment options include surgical removal of the tumor, medical therapy, and radiation therapy of the pituitary. goals of treatment are to - reduce excess hormone production to normal levels - relieve the pressure that the growing pituitary tumor may be exerting on the surrounding brain areas - preserve normal pituitary function or treat hormone deficiencies - improve the symptoms of acromegaly surgery surgery is the first option recommended for most people with acromegaly, as it is often a rapid and effective treatment. the surgeon reaches the pituitary via an incision through the nose or inside the upper lip and, with special tools, removes the tumor tissue in a procedure called transsphenoidal surgery. this procedure promptly relieves the pressure on the surrounding brain regions and leads to a rapid lowering of gh levels. if the surgery is successful, facial appearance and soft tissue swelling improve within a few days. surgery is most successful in patients with blood gh levels below 45 ng/ml before the operation and with pituitary tumors no larger than 10 millimeters (mm) in diameter. success depends in large part on the skill and experience of the surgeon, as well as the location of the tumor. even with the most experienced neurosurgeon, the chance of a cure is small if the tumor has extended into critical brain structures or into the cavernous sinus where surgery could be risky. the success rate also depends on what level of gh is defined as a cure. the best measure of surgical success is normalization of gh and igf-i levels. the overall rate of remission-control of the disease-after surgery ranges from 55 to 80 percent. (see for more information to locate a board-certified neurosurgeon.) a possible complication of surgery is damage to the surrounding normal pituitary tissue, which requires lifelong use of pituitary hormone replacement. the part of the pituitary that stores antidiuretic hormonea hormone important in water balancemay be temporarily or, rarely, permanently damaged and the patient may require medical therapy. other potential problems include cerebrospinal fluid leaks and, rarely, meningitis. cerebrospinal fluid bathes the brain and can leak from the nose if the incision area doesnt heal well. meningitis is a bacterial or viral infection of the meninges, the outer covering of the brain. even when surgery is successful and hormone levels return to normal, people with acromegaly must be carefully monitored for years for possible recurrence of the disease. more commonly, hormone levels improve, but do not return to normal. additional treatment, usually medications, may be required. medical therapy medical therapy is most often used if surgery does not result in a cure and sometimes to shrink large tumors before surgery. three medication groups are used to treat acromegaly. somatostatin analogs (ssas) are the first medication group used to treat acromegaly. they shut off gh production and are effective in lowering gh and igf-i levels in 50 to 70 percent of patients. ssas also reduce tumor size in around 0 to 50 percent of patients but only to a modest degree. several studies have shown that ssas are safe and effective for long-term treatment and in treating patients with acromegaly caused by nonpituitary tumors. long-acting ssas are given by intramuscular injection once a month. digestive problems-such as loose stools, nausea, and gas-are a side effect in about half of people taking ssas. however, the effects are usually temporary and rarely severe. about 10 to 20 percent of patients develop gallstones, but the gallstones do not usually cause symptoms. in rare cases, treatment can result in elevated blood glucose levels. more commonly, ssas reduce the need for insulin and improve blood glucose control in some people with acromegaly who already have diabetes. the second medication group is the gh receptor antagonists (ghras), which interfere with the action of gh. they normalize igf-i levels in more than 90 percent of patients. they do not, however, lower gh levels. given once a day through injection, ghras are usually well-tolerated by patients. the long-term effects of these drugs on tumor growth are still under study. side effects can include headaches, fatigue, and abnormal liver function. dopamine agonists make up the third medication group. these drugs are not as effective as the other medications at lowering gh or igf-i levels, and they normalize igf-i levels in only a minority of patients. dopamine agonists are sometimes effective in patients who have mild degrees of excess gh and have both acromegaly and hyperprolactinemiatoo much of the hormone prolactin. dopamine agonists can be used in combination with ssas. side effects can include nausea, headache, and lightheadedness. agonist: a drug that binds to a receptor of a cell and triggers a response by the cell, mimicking the action of a naturally occurring substance. antagonist: a chemical that acts within the body to reduce the physiological activity of another chemical substance or hormone. radiation therapy radiation therapy is usually reserved for people who have some tumor remaining after surgery and do not respond to medications. because radiation leads to a slow lowering of gh and igf-i levels, these patients often also receive medication to lower hormone levels. the full effect of this therapy may not occur for many years. the two types of radiation delivery are conventional and stereotactic. conventional radiation delivery targets the tumor with external beams but can damage surrounding tissue. the treatment delivers small doses of radiation multiple times over 4 to 6 weeks, giving normal tissue time to heal between treatments. stereotactic delivery allows precise targeting of a high-dose beam of radiation at the tumor from varying angles. the patient must wear a rigid head frame to keep the head still. the types of stereotactic radiation delivery currently available are proton beam, linear accelerator (linac), and gamma knife. with stereotactic delivery, the tumor must be at least 5 mm from the optic chiasm to prevent radiation damage. this treatment can sometimes be done in a single session, reducing the risk of damage to surrounding tissue. all forms of radiation therapy cause a gradual decline in production of other pituitary hormones over time, resulting in the need for hormone replacement in most patients. radiation also can impair a patients fertility. vision loss and brain injury are rare complications. rarely, secondary tumors can develop many years later in areas that were in the path of the radiation beam.",niddk,acromegaly
what is (are) glomerular diseases ?,"the two kidneys are bean-shaped organs located just below the rib cage, one on each side of the spine. everyday, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. blood enters the kidneys through arteries that branch inside the kidneys into tiny clusters of looping blood vessels. each cluster is called a glomerulus, which comes from the greek word meaning filter. the plural form of the word is glomeruli. there are approximately 1 million glomeruli, or filters, in each kidney. the glomerulus is attached to the opening of a small fluid-collecting tube called a tubule. blood is filtered in the glomerulus, and extra fluid and wastes pass into the tubule and become urine. eventually, the urine drains from the kidneys into the bladder through larger tubes called ureters. each glomerulus-and-tubule unit is called a nephron. each kidney is composed of about 1 million nephrons. in healthy nephrons, the glomerular membrane that separates the blood vessel from the tubule allows waste products and extra water to pass into the tubule while keeping blood cells and protein in the bloodstream.",niddk,glomerular diseases
what is (are) glomerular diseases ?,"the two kidneys are bean-shaped organs located just below the rib cage, one on each side of the spine. everyday, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. blood enters the kidneys through arteries that branch inside the kidneys into tiny clusters of looping blood vessels. each cluster is called a glomerulus, which comes from the greek word meaning filter. the plural form of the word is glomeruli. there are approximately 1 million glomeruli, or filters, in each kidney. the glomerulus is attached to the opening of a small fluid-collecting tube called a tubule. blood is filtered in the glomerulus, and extra fluid and wastes pass into the tubule and become urine. eventually, the urine drains from the kidneys into the bladder through larger tubes called ureters. each glomerulus-and-tubule unit is called a nephron. each kidney is composed of about 1 million nephrons. in healthy nephrons, the glomerular membrane that separates the blood vessel from the tubule allows waste products and extra water to pass into the tubule while keeping blood cells and protein in the bloodstream.",niddk,glomerular diseases
how to diagnose glomerular diseases ?,"patients with glomerular disease have significant amounts of protein in the urine, which may be referred to as ""nephrotic range"" if levels are very high. red blood cells in the urine are a frequent finding as well, particularly in some forms of glomerular disease. urinalysis provides information about kidney damage by indicating levels of protein and red blood cells in the urine. blood tests measure the levels of waste products such as creatinine and urea nitrogen to determine whether the filtering capacity of the kidneys is impaired. if these lab tests indicate kidney damage, the doctor may recommend ultrasound or an x ray to see whether the shape or size of the kidneys is abnormal. these tests are called renal imaging. but since glomerular disease causes problems at the cellular level, the doctor will probably also recommend a kidney biopsya procedure in which a needle is used to extract small pieces of tissue for examination with different types of microscopes, each of which shows a different aspect of the tissue. a biopsy may be helpful in confirming glomerular disease and identifying the cause.",niddk,glomerular diseases
how to diagnose glomerular diseases ?,"patients with glomerular disease have significant amounts of protein in the urine, which may be referred to as ""nephrotic range"" if levels are very high. red blood cells in the urine are a frequent finding as well, particularly in some forms of glomerular disease. urinalysis provides information about kidney damage by indicating levels of protein and red blood cells in the urine. blood tests measure the levels of waste products such as creatinine and urea nitrogen to determine whether the filtering capacity of the kidneys is impaired. if these lab tests indicate kidney damage, the doctor may recommend ultrasound or an x ray to see whether the shape or size of the kidneys is abnormal. these tests are called renal imaging. but since glomerular disease causes problems at the cellular level, the doctor will probably also recommend a kidney biopsya procedure in which a needle is used to extract small pieces of tissue for examination with different types of microscopes, each of which shows a different aspect of the tissue. a biopsy may be helpful in confirming glomerular disease and identifying the cause.",niddk,glomerular diseases
